231,The Stallions,Lancaster
226,The Famtastic Lomgbois,Lancaster
218,Piethon,Lancaster
210,NULL,Northumbria
197,Seg Fault Squad,Rhul
193,SIGINT,ED
189,Runtime Terror,Lancaster
183,Hacky McHackface,Southwales
175,SESH A,Sheffield
174,Gonzo Masters,Lancaster
162,JEKyll,Bham
161,Kibir Tele Vibir,Manchester
147,M4nch35t3r,Manchester
138,unb00tables,Manchester
135,flagDropper,Napier
134,Hacks out for Harambe,Leedsbeckett
132,Bl4ckSn@k3_C3lul4,ESPOL
129,Rabbit Season,UEA
115,TheATeam,UAD
115,Hackingham,Nottingham
113,PrivBit,Northumbria
113,43mice,Bham
109,UWE CyberSociety Team,UWE Bristol
96,z00mers,Kent
94,csgrodo,Rhul
94,licensed_winrar,Napier
94,413Payload2Large,Bournemouth
94,Underated,Bham
91,Corkscrew,Bham
80,WhoAreWe,MMU
63,Getting Edumacated,Northumbria
62,pollyWannaHacker,Kent
61,IDORa the Exploiter,Liverpool
61,Byte for Bait,Bournemouth
61,BackSlasher,Blackpool
58,Big Flag Energy,Sheffield
55,ENUBeginners,Napier
54,Wintermute is in charge,Leedsbeckett
50,Cyber Warriors ,Brookes
46,0x03f3,Myport
40,0xBEEFBABE,Warwick
40,Wizards of Holloway Place,Rhul
28,BugHunters,RGU
27,Flat 4,LE
21,anonymouse,ED
20,Manny1337,Salford
19,0xDEADBEEF,Rhul
18,Netrunning with the Devil,Coventry
11,SnailSquad,Liverpool
11,Salty Seagulls ,Abdn
10,Lovelace,Bham
6,BlueBird ,York
6,Hack Keele,Keele
4,AMU,Mycampus.apus.edu
2,BCS Referree,BCS
1,CultOfTheDeadCarrot,QUB
1,BCU{Cyber},BCU
